Shelf Number,First Book,Last Book,1
1,AC1.G72,AZ999.M6,1
2,B72.F4,B131.D3v.5,1
3,B131.E2,B243.G66,1
4,B234.G881987,B801.H3,1
5,B801.L441968,B945.M2984M221970,1
6,B945.M461R4,B1646.H23P51968,1
7,B1646.H24V641984,B2779.S451974,1
8,B2779.S51962,B3998.W63,1
9,B3998.W651983,B5802.A89A971992,1
10,BD215.S881969,BD701.W36,1
11,BF108.U5A5,BF181.G31951,1
12,BF181.G31980,BF455.H6751965,1
13,BF455.I531992,BF692.R38,1
14,BF692.R4,BF721.R33,1
15,BF721.R34,BF1141.B681976,1
16,BF1141.C4731966,BJ1287.C631974,1
17,BJ1287.L83M33,BL80.2.H621960,1
18,BL80.2.H781975,BL1032.B4,1
19,BL1032.K51968,BL2370.S5E4131970,1
20,BL2370.S5E4132004,BL2790.M45D6,1
21,BP60.T341987,BP624.A462004,1
22,BR60.S41954,BR479.C551935,1
23,BR479.H575,BS192.2.A11964G3,1
24,BA192.2.A11964.G3v.32B,BT28.I3411971,1
25,BT28.N47v.3,BV3785.G69F7,1
26,BV3785.G69M452009,BX1735.L451966v.2,1
27,BX1735.L451966v.3,BX5133.D6S4v.10c.2,1
28,BX5133.D6S441963,CB251.H79,1
29,CB251.H8,CT275.F68S91948,1
30,CT257.F7H31936,D16.7.I233v.3c.2,1
31,D16.7.I2331958v.1,D148.H3,1
32,D148.N682000,D568.5.M51970,1
33,D568.5.W6,D767.25.H6W3552004,1
34,D767.25.H6W362005,D810.J4L2813,1
35,D810.J4L355,DA30.B82v.2,1
36,DA30.C31929av.1,DA257.S5,1
37,DA258.R67,DA508.A5M31979,1
38,DA508.A6E4,DA670.N8S5,1
39,DA670.N813H861976b,DC38.G9v.2,1
40,DC38.G975,DC342.8.G3B79,1
41,MISSING,,1
42,MISSING,,1
43,MISSING,,1
44,MISSING,,1
45,MISSING,,1
46,MISSING,,1
47,MISSING,,1
48,MISSING,,1
49,MISSING,,1
50,MISSING,,1
51,MISSING,,1
52,MISSING,,1
53,MISSING,,1
54,MISSING,,1
55,MISSING,,1
56,MISSING,,1
57,MISSING,,1
58,DS740.5.K6,DS779.2.C45,1
59,DS779.2.C46,DS895.I5,1
60,MISSING,,1
61,MISSING,,1
62,MISSING,,1
63,DT455.P4713,DT755.R35,1
64,DT107.C5,DT433.L8A31959v.4,1
65,DT433.S7L8,DT541.62.R66,1
66,DT541.65.A6c.2,DT763.J41967,1
67,DT763.K231968,DT862.2.W54,1
68,DT864.B3,DU740.S341991,1
69,DU740.S373,E97.2.A4762001,1
70,E97.5.A351995,E99.Z9Z86,1
71,E101.B831955,E169.1.R631932,1
72,E169.1.R7755c.1,E176.B7981969,1
73,E176.B81931,E181.L64,1
74,E181.M63,E183.8.S65C751995,1
75,E183.8.S65D341985,E184.S75D3782003,1
76,E184.S75F432014,E185.625.Y682010,1
77,E185.63.B55v.1,E188.A49,1
78,E188.A572v.1,E263.N6N56v.3,1
79,E263.N6N56v.4,E302.1.D6,1
80,E302.1.E442007,E338.P42,1
81,E338.R382008,E449.E76,1
82,E449.F481972,E470.8.M46,1
83,E470.9.J661991,E697.C63,1
84,E697.M14v.1-2,E745.M3S261989,1
85,E745.M37C731990,E767.L64c.2,1
86,E767.L65v.1,E840.8.G5S742000,1
87,E840.8.G54A31999,F4.5.W752001,1
88,F5.D762,F128.E472002c.2,1
89,F128.1.K551971,F210.W43,1
90,F211.A94,F334.B69N4492001,1
91,F334.L55H462000,F592.D861997,1
92,F592.F2221966,F912.T64B661999,1
93,F912.Y9M3,F1221.P6F71966,1
94,F1221.S43C71971,F1416.S65M551989,1
95,F1416.S65R431983v.1,F1788.T53131990,1
96,F1788.T691990,F2687.P4,1
97,F2687.W542002v.1,G440.C6C61988,1
98,G440.F83,GC11.D88,1
99,GC11.G7513,GN24.F6,1
100,GN24.G6,GN475.8.G4,1
101,GN475.8.H3,GN805.B87,1
102,GN805.C51971,GT607.E221999,1
