ShelfNo,X,Y,Width,Height,Map
159,362.4,490.9,87.4,7.5,1
160,362.4,490.9,87.4,7.5,1
167,339.6,490.9,87.4,7.5,1
166,339.6,490.9,87.4,7.5,1
888,306.1,504.9,59.3,7.5,1
888,282.5,504.9,59.3,7.5,1
777,282.5,504.9,59.3,7.5,1
174,324.8,483.1,71.8,7.5,1
175,324.8,483.1,71.8,7.5,1
28,145.8,344.8,101.8,7.5,1
29,145.8,344.8,101.8,7.5,1
24,122.6,344.8,101.8,7.5,1
25,122.6,344.8,101.8,7.5,1
20,99.6,344.8,101.8,7.5,1
21,99.6,344.8,101.8,7.5,1
17,83.2,337.6,87.4,7.5,1
16,83.2,337.6,87.4,7.5,1
12,60.7,337.6,87.4,7.5,1
13,60.7,337.6,87.4,7.5,1
6,32.8,317.4,47.8,8.3,1
7,32.8,317.4,47.8,8.3,1
3,22.6,327.5,28,7.9,
2,22.6,327.5,28,7.9,1
23,137.2,232.2,75.5,7.5,1
26,137.2,232.2,75.5,7.5,1
19,112.8,232.2,75.5,7.5,1
22,112.8,232.2,75.5,7.5,1
15,89.1,232.2,75.5,7.5,1
18,89.1,232.2,75.5,7.5,1
11,65.5,232.2,75.5,7.5,1
14,65.5,232.2,75.5,7.5,1
9,42.4,232.2,75.5,7.5,1
10,42.4,232.2,75.5,7.5,1
5,18.6,232.2,75.5,7.5,1
8,18.6,232.2,75.5,7.5,1
1,-5,232.2,75.5,7.5,1
4,-5,232.2,75.5,7.5,1





















